Word,Frequency,Percentage
crying,410,4.638009049773756
face,285,3.2239819004524892
faceloudly,205,2.319004524886878
zayne,144,1.6289592760180998
sylus,143,1.6176470588235297
omg,112,1.2669683257918551
loudly,110,1.244343891402715
story,102,1.153846153846154
main,95,1.0746606334841629
update,86,0.9728506787330317
spotify,86,0.9728506787330317
need,85,0.9615384615384616
pls,70,0.7918552036199095
heart,67,0.7579185520361991
song,57,0.6447963800904977
popperparty,53,0.5995475113122173
cant,51,0.576923076923077
gun,50,0.5656108597285068
infold,50,0.5656108597285068
please,43,0.48642533936651583
wait,40,0.4524886877828055
open,40,0.4524886877828055
skin,38,0.4298642533936652
back,38,0.4298642533936652
dont,37,0.41855203619909503
holding,36,0.40723981900452494
heartred,36,0.40723981900452494
hands,35,0.39592760180995473
two,35,0.39592760180995473
question,32,0.36199095022624433
new,31,0.35067873303167424
thought,30,0.3393665158371041
light,30,0.3393665158371041
screaming,29,0.32805429864253394
barbie,28,0.3167420814479638
car,28,0.3167420814479638
game,27,0.3054298642533937
mouthface,26,0.29411764705882354
finally,25,0.2828054298642534
love,25,0.2828054298642534
tears,24,0.27149321266968324
going,24,0.27149321266968324
god,24,0.27149321266968324
holy,24,0.27149321266968324
gonna,22,0.24886877828054296
red,22,0.24886877828054296
got,22,0.24886877828054296
crossedout,21,0.23755656108597284
popper,21,0.23755656108597284
markexclamation,21,0.23755656108597284
movie,21,0.23755656108597284
know,21,0.23755656108597284
storage,19,0.2149321266968326
damn,19,0.2149321266968326
dawnbreaker,19,0.2149321266968326
literally,18,0.20361990950226247
thats,18,0.20361990950226247
looks,18,0.20361990950226247
ive,18,0.20361990950226247
event,17,0.19230769230769232
lets,17,0.19230769230769232
eyesface,17,0.19230769230769232
put,16,0.18099547511312217
want,16,0.18099547511312217
yes,16,0.18099547511312217
facered,16,0.18099547511312217
didnt,15,0.16968325791855204
caleb,15,0.16968325791855204
facecrying,15,0.16968325791855204
thinking,15,0.16968325791855204
right,15,0.16968325791855204
look,15,0.16968325791855204
play,15,0.16968325791855204
action,15,0.16968325791855204
wish,14,0.1583710407239819
weary,14,0.1583710407239819
good,14,0.1583710407239819
still,14,0.1583710407239819
take,14,0.1583710407239819
snowcrow,14,0.1583710407239819
trailer,13,0.14705882352941177
fire,13,0.14705882352941177
shit,13,0.14705882352941177
okay,12,0.13574660633484162
lol,12,0.13574660633484162
ill,12,0.13574660633484162
bad,12,0.13574660633484162
hard,12,0.13574660633484162
way,12,0.13574660633484162
updates,11,0.12443438914027148
feel,11,0.12443438914027148
already,11,0.12443438914027148
zaynes,11,0.12443438914027148
help,11,0.12443438914027148
party,11,0.12443438914027148
mark,11,0.12443438914027148
getting,11,0.12443438914027148
release,11,0.12443438914027148
ever,11,0.12443438914027148
vibes,11,0.12443438914027148
mouth,11,0.12443438914027148
giving,11,0.12443438914027148
stop,10,0.11312217194570137
smiling,10,0.11312217194570137
waiting,10,0.11312217194570137
give,10,0.11312217194570137
bro,10,0.11312217194570137
girlies,10,0.11312217194570137
part,10,0.11312217194570137
omgggg,10,0.11312217194570137
thank,10,0.11312217194570137
exclamation,10,0.11312217194570137
hes,10,0.11312217194570137
hot,10,0.11312217194570137
free,10,0.11312217194570137
badass,10,0.11312217194570137
since,10,0.11312217194570137
hand,10,0.11312217194570137
toneheart,10,0.11312217194570137
sweat,10,0.11312217194570137
facetired,10,0.11312217194570137
phone,10,0.11312217194570137
faceweary,9,0.10180995475113123
headspeaking,9,0.10180995475113123
tone,9,0.10180995475113123
woah,9,0.10180995475113123
day,9,0.10180995475113123
fireheart,9,0.10180995475113123
anymore,9,0.10180995475113123
needs,9,0.10180995475113123
thing,9,0.10180995475113123
faceheart,9,0.10180995475113123
real,9,0.10180995475113123
fearface,9,0.10180995475113123
money,9,0.10180995475113123
mains,9,0.10180995475113123
made,9,0.10180995475113123
bgm,9,0.10180995475113123
long,9,0.10180995475113123
leather,9,0.10180995475113123
sweatgrinning,9,0.10180995475113123
excited,9,0.10180995475113123
music,8,0.09049773755656108
men,8,0.09049773755656108
yall,8,0.09049773755656108
cause,8,0.09049773755656108
driving,8,0.09049773755656108
doctor,8,0.09049773755656108
guns,8,0.09049773755656108
least,8,0.09049773755656108
seeing,8,0.09049773755656108
something,8,0.09049773755656108
squinting,8,0.09049773755656108
lads,8,0.09049773755656108
isnt,8,0.09049773755656108
que,8,0.09049773755656108
never,8,0.09049773755656108
outfit,8,0.09049773755656108
tired,8,0.09049773755656108
hear,8,0.09049773755656108
every,8,0.09049773755656108
guys,8,0.09049773755656108
yessss,8,0.09049773755656108
could,7,0.07918552036199095
try,7,0.07918552036199095
keep,7,0.07918552036199095
hearteyes,7,0.07918552036199095
