Word,Frequency,Percentage
face,621,3.3464460850352964
crying,502,2.7051786387885977
heartred,432,2.3279624939375974
heart,382,2.0585223904725978
zayne,272,1.4657541628495985
sylus,270,1.4549765587109984
song,263,1.4172549442258986
faceloudly,233,1.2555908821468988
love,229,1.2340356738696987
story,203,1.0939268200678989
main,189,1.018483591097699
omg,185,0.996928382820499
red,162,0.8729859352265992
loudly,148,0.7975427062563992
spotify,143,0.7705986959098993
update,139,0.7490434876326992
need,121,0.6520450503852994
please,111,0.5981570296922994
smiling,111,0.5981570296922994
infold,96,0.5173249986527995
back,91,0.49038098830629956
barbie,90,0.48499218623699947
cant,85,0.4580481758904995
heartgrowing,83,0.4472705717518995
beautiful,81,0.4364929676132996
holding,80,0.43110416554399955
pls,78,0.42032656140539953
thank,78,0.42032656140539953
yes,77,0.4149377593360996
good,71,0.3826049469202996
gun,70,0.37721614485099964
open,70,0.37721614485099964
tears,69,0.37182734278169965
hands,68,0.3664385407123996
two,68,0.3664385407123996
game,67,0.36104973864309964
finally,66,0.35566093657379966
new,65,0.3502721345044996
skin,65,0.3502721345044996
popperparty,60,0.32332812415799966
hearteyessmiling,57,0.3071617179500997
god,56,0.3017729158807997
light,53,0.28560650967289974
dont,53,0.28560650967289974
vibes,51,0.27482890553429973
wait,50,0.2694401034649997
know,47,0.25327369725709975
thought,46,0.24788489518779974
hearteyes,43,0.23171848897989977
mouthface,43,0.23171848897989977
heartsparkling,43,0.23171848897989977
giving,42,0.2263296869105998
car,40,0.21555208277199978
got,40,0.21555208277199978
looks,40,0.21555208277199978
lets,40,0.21555208277199978
feel,39,0.21016328070269977
blue,38,0.20477447863339981
dawnbreaker,38,0.20477447863339981
hearts,37,0.1993856765640998
screaming,37,0.1993856765640998
music,37,0.1993856765640998
taylor,37,0.1993856765640998
want,36,0.1939968744947998
excited,36,0.1939968744947998
action,35,0.18860807242549982
put,35,0.18860807242549982
spring,35,0.18860807242549982
movie,34,0.1832192703561998
going,34,0.1832192703561998
snowcrow,34,0.1832192703561998
holy,33,0.17783046828689983
singer,33,0.17783046828689983
ive,33,0.17783046828689983
facered,33,0.17783046828689983
gonna,33,0.17783046828689983
question,32,0.17244166621759985
happy,31,0.16705286414829984
amazing,31,0.16705286414829984
event,31,0.16705286414829984
sounds,29,0.15627526000969985
damn,29,0.15627526000969985
lads,29,0.15627526000969985
thats,29,0.15627526000969985
literally,28,0.15088645794039984
voice,28,0.15088645794039984
right,27,0.14549765587109983
heartlight,27,0.14549765587109983
mouth,27,0.14549765587109983
girlies,27,0.14549765587109983
joy,27,0.14549765587109983
hand,27,0.14549765587109983
look,27,0.14549765587109983
play,26,0.14010885380179985
cool,26,0.14010885380179985
caleb,26,0.14010885380179985
popper,26,0.14010885380179985
eyes,26,0.14010885380179985
swift,26,0.14010885380179985
thinking,26,0.14010885380179985
hope,25,0.13472005173249985
feels,25,0.13472005173249985
heartssmiling,25,0.13472005173249985
songs,25,0.13472005173249985
take,24,0.12933124966319987
fire,24,0.12933124966319987
banner,24,0.12933124966319987
release,23,0.12394244759389987
vibe,23,0.12394244759389987
didnt,23,0.12394244759389987
getting,22,0.11855364552459988
crossedout,22,0.11855364552459988
day,22,0.11855364552459988
markexclamation,21,0.1131648434552999
mains,21,0.1131648434552999
still,21,0.1131648434552999
bgm,21,0.1131648434552999
already,21,0.1131648434552999
tone,21,0.1131648434552999
storage,21,0.1131648434552999
zaynes,21,0.1131648434552999
wow,21,0.1131648434552999
made,20,0.10777604138599989
hear,20,0.10777604138599989
party,20,0.10777604138599989
deepspace,20,0.10777604138599989
hot,20,0.10777604138599989
eyessmiling,20,0.10777604138599989
come,20,0.10777604138599989
wish,20,0.10777604138599989
reminds,19,0.10238723931669991
thing,19,0.10238723931669991
always,19,0.10238723931669991
lol,19,0.10238723931669991
hello,19,0.10238723931669991
floor,19,0.10238723931669991
makes,19,0.10238723931669991
badass,19,0.10238723931669991
ever,19,0.10238723931669991
ill,19,0.10238723931669991
disney,18,0.0969984372473999
fireheart,18,0.0969984372473999
whole,18,0.0969984372473999
actually,18,0.0969984372473999
waiting,18,0.0969984372473999
boys,18,0.0969984372473999
outfits,18,0.0969984372473999
bro,18,0.0969984372473999
way,18,0.0969984372473999
rafayel,18,0.0969984372473999
sweat,17,0.0916096351780999
yeah,17,0.0916096351780999
favorite,17,0.0916096351780999
something,17,0.0916096351780999
grinning,17,0.0916096351780999
listen,17,0.0916096351780999
add,17,0.0916096351780999
eyesface,17,0.0916096351780999
man,17,0.0916096351780999
okay,17,0.0916096351780999
listening,17,0.0916096351780999
give,17,0.0916096351780999
squinting,17,0.0916096351780999
ready,17,0.0916096351780999
princess,16,0.08622083310879992
blossomcherry,16,0.08622083310879992
shit,16,0.08622083310879992
facecrying,16,0.08622083310879992
life,16,0.08622083310879992
weary,16,0.08622083310879992
keep,16,0.08622083310879992
handsfolded,16,0.08622083310879992
trailer,16,0.08622083310879992
diamond,16,0.08622083310879992
hes,16,0.08622083310879992
yesss,16,0.08622083310879992
let,15,0.08083203103949992
hard,15,0.08083203103949992
bad,15,0.08083203103949992
gives,15,0.08083203103949992
ost,15,0.08083203103949992
free,15,0.08083203103949992
another,15,0.08083203103949992
thanks,15,0.08083203103949992
everything,15,0.08083203103949992
xavier,15,0.08083203103949992
never,15,0.08083203103949992
leather,15,0.08083203103949992
outfit,15,0.08083203103949992
stop,15,0.08083203103949992
girl,15,0.08083203103949992
men,14,0.07544322897019992
version,14,0.07544322897019992
since,14,0.07544322897019992
top,14,0.07544322897019992
part,14,0.07544322897019992
blowing,14,0.07544322897019992
seeing,14,0.07544322897019992
long,14,0.07544322897019992
youre,14,0.07544322897019992
