"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@vievon9244","false","UgyPVsZl260E_uncTMl4AaABAg","This song feels like tinkerbell! In a good way btw ❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@eqvwey","false","UgzSFtLcDwE9NeDpE1N4AaABAg.AIwN5h1gQ9zAIxBYmRVTh7","xavier on piano bcuz silvery polyphony exists","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","12 days ago","0","UgzSFtLcDwE9NeDpE1N4AaABAg","Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","reply","xMR9tY3XfaY","2"
"@MishaShah123","false","UgxTz3KTdcQxZtIqFVJ4AaABAg","Even after the event ended in still listening to this","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","4"
"@tfeb6","false","UgxYiyjqabqA1pe01CR4AaABAg","put this on spotify NOW (please)","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@katty.s","false","UgwSlF-7WMchtNet-JZ4AaABAg","Please! I thought this was on Spotify already 🥹","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","3"
"@kiki_kiraa","false","UgxNqDVpFTVBmZ8co154AaABAg","Similar to winx club musics 😻","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@BUNIXD","false","Ugz7EfcCpr3J3kpCN094AaABAg","I NEED THIS ON SPOTIFY LIKE YESTERDAY 😭😭😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@fishhhhhhhhhhh","false","Ugyd5VZQPclfKiyLL-J4AaABAg","SPOTIFY","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@nurinsifa23","false","UgzFqYyatEKVQas_GCt4AaABAg","the best OST of LaDS","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@luna8518","false","UgxsWCjNm2y10JNtT2B4AaABAg","Up up omggg this is so good❤❤❤❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@FlowerSpring-e3l","false","Ugw2QqZcQMKiGMCDCfV4AaABAg","Hi","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@Angel-nh4iv","false","Ugw9WViuHwnYZmaOQid4AaABAg","Is it just me losing my mind for loving this song too much or it really is Loren Allred singing😭 Infold please give me an answer😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@thasyaaries5536","false","UgxhrPli-vdBo1dSCkJ4AaABAg","Make it on SPOTIFY!!!! PLEASE❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
"@AzureytE.","false","Ugx0XAefDMXaATvuJ0d4AaABAg","Pleeeease!!! We need this song on Spotify!!!! Pleeeease!!!!!!🙏","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@phichitras","false","UgxNb6qrWCGiREWBTfp4AaABAg","I really love this song. Is there a chance it will be released on iTunes or other platforms?","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@phantasieandmirare","false","UgwrmgFfNTeC6Pl-n2t4AaABAg","The first thing I bought with the event currency was this BGM it’s so GOOD","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@torch7yr","false","UgxAh1oAwPt2yPStadV4AaABAg","This song makes me so happy ❤❤❤❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@SeroLover","false","UgwUEaO3i4OTARYPHsB4AaABAg","Who else cries in this song, because I do idk why!","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
"@_raqvel_","false","Ugyn5q7YMvHjh4-y8cl4AaABAg","I love this song so much, I've been listening to it nonstop. It's the only theme I have in the café and in the photobooth too. It´s so beautiful and refreshing. Truly as spring","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@LovelyACB","false","Ugx5GKs38YOCnY28fql4AaABAg","Anyone else keeps coming back to this song? I'm still here even though the event is over 🥺💙","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","4",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","66"
"@mauguet","false","Ugwnx5cpqpcVck7xAYt4AaABAg","OMG WHEN ON SPOTIFY 😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
"@sugarhoneyrosybear2355","false","UgwCprKCyP1rM2qmdOx4AaABAg","Can this available in Apple Store😭💖💖💖💖💖💖💖💖💖💖💖","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@riea1167","false","Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAIRxLx-YxaB","sameee ✋😫💖","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0","Ugx5GKs38YOCnY28fql4AaABAg","Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","reply","xMR9tY3XfaY","1"
"@koala_0907","false","Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAISTmuKh2YF","me too","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0","Ugx5GKs38YOCnY28fql4AaABAg","Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","reply","xMR9tY3XfaY","1"
"@Choishinhyun","false","Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAImQyZTXyEE","Same. I'm addicted to this and I found a ai cover of zayne singing this. Both are on repeat","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0","Ugx5GKs38YOCnY28fql4AaABAg","Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","reply","xMR9tY3XfaY","2"
"@LovelyACB","false","Ugx5GKs38YOCnY28fql4AaABAg.AIQRkoAjErEAImsgbwTNLt","​ @Choishinhyun Ah, nice! I might look for some AI covers too... my main is Sylus though, so I'm not sure if it would actually sound good 😂🙈","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","2 weeks ago","0","Ugx5GKs38YOCnY28fql4AaABAg","Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","reply","xMR9tY3XfaY","2"
"@uh6241","false","UgwbeScLrTqaAMnaC5N4AaABAg","does anyone know the singer?","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","4"
"@RahmaIdelia1204","false","Ugx7dykWOm3dsvNV6U54AaABAg","please put this song in spotify❤❤❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
"@nviah","false","UgxBy1eGpeY8FmjN7tx4AaABAg","please update the spotify 😭💞🌸","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@miriamr2366","false","Ugyl2NYBoMd-ektKTnF4AaABAg","already miss this event 😢","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","3"
"@blub_blub_","false","UgzimGt-kOsrnjck4nZ4AaABAg","Respectfully asking Infold to put this on Spotify 🙏🏼","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@afreenworld3603","false","UgwXUYOisr9vomkg-Ad4AaABAg","My favourite ❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@RoyalMarkers23","false","Ugwje_rUSuhJnT-xU_x4AaABAg","I'm here to ask/to plead Infold, Please add this one to streaming platform like spotify. We've been waiting for it. Hope everything doing fine with the deal to add this ost.

Most of us(the players) really loves Spring and Flowers❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","3 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","6"
"@SevenEggs","false","UgzdBhTS3jKgnSxFp3l4AaABAg","I need these good vibes after the story update. OOooh my shayla 😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@fuwakookie2481","false","UgycAoFt_oIppeTLEbV4AaABAg","Everyones saying barbie but im thinking this sound is reminicent of 2010s kdrama osts for romcoms LOL","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@AdhritaDeyPurkayastha-d6o","false","UgyJYUDkwJe8RLqVQAF4AaABAg","THIS IS SO GOOD???❤","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@celine2112","false","UgwXOvthMqtFNjApl_l4AaABAg","PUT IT IN SPOTIFY PLEAASEE PLEASEEEE PLEASEEEE🙏🙏🙏🙏💗💖💖💖💝💝","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@elizabethramos201","false","UgwyM0J2kYEVCuW-yOZ4AaABAg","hey so let's put this on spotify now !!","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@dalilah4299","false","UgwcBx_z6F-6MB6GQ_Z4AaABAg","need this on apple music","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@unknownuser-m9r0","false","UgzYQLDzChSD1sO2X7J4AaABAg","This song's so pretty! 285k view!wow🎉😮","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@tianfizriani9343","false","Ugx5uIT97TfhGv1aRmB4AaABAg","NEED THIS ON SPOTIFY PLSSSSS","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","2"
"@jesuisnani1034","false","Ugw6OsYk9GTn1Zz1_JJ4AaABAg","I love this song. 😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@Potachann","false","Ugx3515wIDibWt-6S2Z4AaABAg","Using this song to be my alarm made me want to continue my dream journey w them. Hehe...","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","4 weeks ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@aikaaii","false","Ugy0z5VGN2zzjFevmYp4AaABAg","Its like a disney princess movie song PLSPSLSPLS I NEED IT ON SPOTIFYYY","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","1"
"@Dizzydreamrr","false","UgwQ5SNbaK7u58kqdiB4AaABAg","Spotify plssss","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@vi.xyoojjj","false","Ugxh8Q-N82LsD3uShYN4AaABAg","i need this song on spotify!!! i love this song so much","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@Chan_imfoive","false","Ugw7TZ-O5d3HM2vl-1x4AaABAg","Love this so much!","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@chrstylnzn7868","false","Ugz_vBrGdXczbFVY9aN4AaABAg","i hope it has a karaoke version😭🫶🏻✨","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@cherry.cerries","false","UgxgeHvRFbqRIsMnaCJ4AaABAg","🥰❤️","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
"@dv_astrophile","false","Ugx0CLZcxNx_M46csC94AaABAg","I'm addicted to this song😭","993","false","https://www.youtube.com/watch?v=xMR9tY3XfaY","1 month ago","0",,"Love and Deepspace | [Spring and Flowers] Spring's Memory BGM Released🎵","comment","xMR9tY3XfaY","0"
