"author","authorIsChannelOwner","cid","comment","commentsCount","hasCreatorHeart","pageUrl","publishedTimeText","replyCount","replyToCid","title","type","videoId","voteCount"
"@Hybbrid867","false","Ugz2ynGPd2DJ3J7UpYl4AaABAg","Kiddie diddlers","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","2 days ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@KittenSwetty","false","Ugy8tbWXPIKBw02Jm1x4AaABAg","SYLUS to uplod❤","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","3 days ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@unknownuser-m9r0","false","UgxpxQoJl4pMpCPKNGh4AaABAg","Waiting for the two next male lead story update🎉🎉 and i can't wait to see NML too😍 Plz didn't always make black hair boy😢 We have already two black hair,Grey hair,White hair! And i wish the NML is new hair style, Like his hair is like a Evert  limit hair style?  I think it'll be so cool and we're like to see like that","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","4 days ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@cih5748","false","UgxVon3qViZAs-F35_x4AaABAg","my zayne omg🥵🥵🥵","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","4 days ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@pooferfloofer","false","UgzYcDZH4eHT_P9GIaF4AaABAg","ZAYNE MY PRETTY PRINCESS","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","12 days ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@krystall294","false","UgwyKozQo7957PGtvf14AaABAg","guys gwapo ni RAFAYEL 😊😊😊😊😊😊😊😊😊😊😊😊😊","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","2 weeks ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@emochick575","false","Ugw3yrWNgcz3QdeJ_N14AaABAg","Can't wait for the other guys main story update!","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","2 weeks ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@santiagotenoriosacin8453","false","UgyrTdV58NRV227JGMR4AaABAg","SYLUS VS ZAYNE >:D","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","2 weeks ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@Ruby057SYLUS","false","UgxgjbggdGMIRoHq38N4AaABAg","OMG . SYLUSSSSSS ❤❤❤❤❤❤❤","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","2 weeks ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","0"
"@Dakula.pakebehel","false","Ugzh4PGm1049eWY8Q_B4AaABAg","WHERE'S THE NEW PV","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","3 weeks ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","2"
"@darkurges","false","UgzgjzrBPrwGe6czY5B4AaABAg","I wish the boys interacted with each other. It’s boring without drama","1459","false","https://www.youtube.com/watch?v=3Ec3JSK4uEU","3 weeks ago","0",,"Love and Deepspace | Death and Rebirth","comment","3Ec3JSK4uEU","1"
